Index,Article Title,Authors,Publication Year,Suitability,Confidence,Keyword
23,Soil science and the carbon civilization,Lal et al.,2007,yes,0.75,soil management
46,Biotechnological Advances for Restoring Degraded Land for Sustainable Development,Tripathi et al.,2017,yes,0.90,bioremediation technology
179,Large-scale deployment of grass in crop rotations as a multifunctional climate mitigation strategy,Englund et al.,2023,yes,0.9,grass cultivation for biomass and soc sequestration
1,Feedstocks for Lignocellulosic Biofuels,Somerville et al.,2010,maybe,0.6,biofuel feedstocks
2,Sustainable intensification in agricultural systems,Pretty et al.,2014,maybe,0.65,sustainable intensification
4,A review on solid adsorbents for carbon dioxide capture,Lee et al.,2015,maybe,0.6,co2 capture
5,Perennial grasslands enhance biodiversity and multiple ecosystem services in bioenergy landscapes,Werling et al.,2014,maybe,0.65,perennial bioenergy crops
6,Faba bean in cropping systems,Jensen et al.,2010,maybe,0.65,faba bean cropping systems
12,Soils and food sufficiency. A review,Lal et al.,2009,maybe,0.75,soil management technology
13,Anatomy and resilience of the global production ecosystem,Nystrom et al.,2019,maybe,0.6,global production ecosystem
16,Mitigating arable soil compaction: A review and analysis of available cost and benefit data,Chamen et al.,2015,maybe,0.75,soil compaction mitigation
17,Reconciling productivity with protection of the environment: Is temperate agroforestry the answer?,Smith et al.,2013,maybe,0.7,agroforestry
20,Biomass and biofuels in China: Toward bioenergy resource potentials and their impacts on the environment,Qin et al.,2018,maybe,0.65,bioenergy
21,Sustainable oil palm industry: The possibilities,Khatun et al.,2017,maybe,0.7,sustainability
22,Predictive model for sustaining biodiversity in tropical countryside,Mendenhall et al.,2011,maybe,0.65,biodiversity in agriculture
26,Robust paths to net greenhouse gas mitigation and negative emissions via advanced biofuels,Field et al.,2020,maybe,0.6,biofuel mitigation potential
27,"Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers - A step towards a regenerative bioeconomy",Seghetta et al.,2016,maybe,0.7,offshore seaweed biorefineries
28,Dedicated Energy Crops and Crop Residues for Bioenergy Feedstocks in the Central and Eastern USA,Mitchell et al.,2016,maybe,0.75,bioenergy feedstocks
30,"More solar farms or more bioenergy crops? Mapping and assessing potential land-use conflicts among renewable energy technologies in eastern Ontario, Canada",Calvert et al.,2015,maybe,0.65,land-use planning for renewable energy
31,"Past, present and future of industrial plantation forestry and implication on future timber harvesting technology",McEwan et al.,2020,maybe,0.6,forest plantation management
34,Time for a shift in crop production: embracing complexity through diversity at all levels,Ostergard et al.,2009,maybe,0.75,sustainable crop production
35,"Mangroves of Vietnam: Historical development, current state of research and future threats",Veettil et al.,2019,maybe,0.65,mangrove conservation
38,Total Chain Integration of sustainable biorefinery systems,Budzianowski et al.,2016,maybe,0.7,biorefinery integration
39,The challenges of sustainably feeding a growing planet,Hertel et al.,2015,maybe,0.65,global food production and sustainability
40,Ecosystem Services of Woody Crop Production Systems,Zalesny et al.,2016,maybe,0.65,woody crop production systems
41,Winter oilseed production for biofuel in the US Corn Belt: opportunities and limitations,Sindelar et al.,2017,maybe,0.65,renewable aviation fuel crops
43,Avenues to meet food security. The role of agronomy on solving complexity in food production and resource use,Spiertz et al.,2012,maybe,0.65,food security
44,Considering agricultural wastes and ecosystem services in Food-Energy-Water-Waste Nexus system design,Garcia et al.,2019,maybe,0.65,bioenergy production
45,"Scales, strategies and actions for effective energy planning: A review",Pasimeni et al.,2014,maybe,0.45,climate-energy planning
48,Identification of beef production farms in the Pampas and Campos area that stand out in economic and environmental performance,Modernel et al.,2018,maybe,0.7,beef farming sustainability
50,Genotypic variability in mineral composition of switchgrass,El-Nashaar et al.,2009,maybe,0.65,switchgrass thermochemical conversion
56,Accounting for land-use efficiency and temporal variations between brownfield remediation alternatives in life-cycle assessment,Beames et al.,2015,maybe,0.7,brownfield remediation
57,"Energy, food, and land - The ecological traps of humankind",Haber et al.,2007,maybe,0.6,ecological traps
61,Assessing Resource Intensity and Renewability of Cellulosic Ethanol Technologies Using Eco-LCA,Baral et al.,2012,maybe,0.7,cellulosic ethanol lifecycle analysis
62,Multifunctional landscapes: Site characterization and field-scale design to incorporate biomass production into an agricultural system,Ssegane et al.,2015,maybe,0.75,bioenergy crop placement
65,Tree legumes: an underexploited resource in warm-climate silvopastures,Dubeux et al.,2017,maybe,0.65,silvopasture benefits
66,Green areas management and bioengineering techniques for improving urban ecological sustainability,Garcia et al.,2017,maybe,0.65,urban ecological sustainability
68,Revolutionary Land Use Change in the 21st Century: Is (Rangeland) Science Relevant?,Herrick et al.,2012,maybe,0.6,rangeland science
69,Seaweed: A potential climate change solution,Yong et al.,2022,maybe,0.65,seaweed farming
72,Artificial photosynthetic antennas and reaction centers,Llansola-Portoles et al.,2017,maybe,0.6,artificial photosynthesis
73,Natural climate solutions versus bioenergy: Can carbon benefits of natural succession compete with bioenergy from short rotation coppice?,Kalt et al.,2019,maybe,0.7,carbon sequestration
