Index,Authors,Article Title,,Publication Year,Abstract,Suitability,Confidence,Keyword
12,Lal,Soils and food sufficiency. A review et al.,,2009,"Soil degradation, caused by land misuse and soil mismanagement, has plagued humanity since the dawn of settled agriculture. Many once thriving civilizations collapsed due to erosion, salinization, nutrient depletion and other soil degradation processes. The Green Revolution of the 1960s and 1970s, that saved hundreds of millions from starvation in Asia and elsewhere, by-passed Sub-Saharan Africa. This remains the only region in the world where the number of hungry and food-insecure populations will still be on the increase even by 2020. The serious technological and political challenges are being exacerbated by the rising energy costs. Resource-poor and small-size land-holders can neither afford the expensive input nor are they sure of their effectiveness because of degraded soils and the harsh, changing climate. Consequently, crop yields are adversely impacted by accelerated erosion, and depletion of soil organic matter (SOM) and nutrients because of the extractive farming practices. Low crop yields, despite growing improved varieties, are due to the severe soil degradation, especially the low SOM reserves and poor soil structure that aggravate drought stress. Components of recommended technology include: no-till; residue mulch and cover crops; integrated nutrient management; and biochar used in conjunction with improved crops (genetically modified, biotechnology) and cropping systems, and energy plantation for biofuel production. However, its low acceptance, e. g. for no-till farming, is due to a range of biophysical, social and economic factors. Competing uses of crop residues for other needs is among numerous factors limiting the adoption of no-till farming. Creating another income stream for resource-poor farmers, through payments for ecosystem services, e. g., C sequestration in terrestrial ecosystems, is an important strategy for promoting the adoption of recommended technologies. Adoption of improved soil management practices is essential to adapt to the changing climate, and meeting the needs of growing populations for food, fodder, fuel and fabrics. Soil restoration and sustainable management are essential to achieving food security, and global peace and stability.",yes,0.75,soil management
34,Ostergard,Time for a shift in crop production: embracing complexity through diversity at all levels et al.,,2009,"A radical shift in our approach to crop production is needed to ensure food security and to address the problems of soil degradation, loss of biodiversity, polluted and restricted water supplies, coupled with a future of fossil fuel limitations and increasingly variable climatic conditions. An interdisciplinary network of European scientists put forward visions for future crop production embracing the complexity of our socio-ecological system by applying the principle of diversity at all levels from soil micro-organisms to plant varieties and cropping systems. This approach, integrated with careful deployment of our finite global resources and implementation of appropriate sustainable technology, appears to be the only way to ensure the scale of system resilience needed to cope with many of our concerns. We discuss some of the most important tools such as (i) building soil fertility by recycling of nutrients and sustainable use of other natural and physical resources, (ii) enhancing biological diversity by breeding of crops resilient to climate change and (iii) reconnecting all stakeholders in crop production. Finally, we emphasise some of the changes in agricultural and environmental regulation and policy needed in order to implement the visions. (C) 2009 Society of Chemical Industry",yes,0.7,diverse cropping systems
46,Tripathi,Biotechnological Advances for Restoring Degraded Land for Sustainable Development et al.,,2017,"Global land resources are under severe threat due to pollution and unsustainable land use practices. Restoring degraded land is imperative for regaining ecosystem services, such as biodiversity maintenance and nutrient and water cycling, and to meet the food, feed, fuel, and fibre requirements of present and future generations. While bioremediation is acknowledged as a promising technology for restoring polluted and degraded lands, its field potential is limited for various reasons. However, recent biotechnological advancements, including producing efficient microbial consortia, applying enzymes with higher degrees of specificity, and designing plants with specific microbial partners, are opening new prospects in remediation technology. This review provides insights into such promising ways to harness biotechnology as ecofriendly methods for remediation and restoration.",yes,0.75,bioremediation
2,Pretty,Sustainable intensification in agricultural systems et al.,,2014,"Background Agricultural systems are amended ecosystems with a variety of properties. Modern agroecosystems have tended towards high through-flow systems, with energy supplied by fossil fuels directed out of the system (either deliberately for harvests or accidentally through side effects). In the coming decades, resource constraints over water, soil, biodiversity and land will affect agricultural systems. Sustainable agroecosystems are those tending to have a positive impact on natural, social and human capital, while unsustainable systems feed back to deplete these assets, leaving fewer for the future. Sustainable intensification (SI) is defined as a process or system where agricultural yields are increased without adverse environmental impact and without the conversion of additional non-agricultural land. The concept does not articulate or privilege any particular vision or method of agricultural production. Rather, it emphasizes ends rather than means, and does not pre-determine technologies, species mix or particular design components. The combination of the terms 'sustainable' and 'intensification' is an attempt to indicate that desirable outcomes around both more food and improved environmental goods and services could be achieved by a variety of means. Nonetheless, it remains controversial to some.Scope and Conclusions This review analyses recent evidence of the impacts of SI in both developing and industrialized countries, and demonstrates that both yield and natural capital dividends can occur. The review begins with analysis of the emergence of combined agricultural-environmental systems, the environmental and social outcomes of recent agricultural revolutions, and analyses the challenges for food production this century as populations grow and consumption patterns change. Emergent criticisms are highlighted, and the positive impacts of SI on food outputs and renewable capital assets detailed. It concludes with observations on policies and incentives necessary for the wider adoption of SI, and indicates how SI could both promote transitions towards greener economies as well as benefit from progress in other sectors.",maybe,0.6,sustainable intensification
17,Smith,Reconciling productivity with protection of the environment: Is temperate agroforestry the answer? et al.,,2013,"Meeting the needs for a growing world population calls for multifunctional land use, which can meet the multiple demands of food and fuel production, environmental and biodiversity protection, and has the capacity for adaptation or resilience to climate change. Agroforestry, a land-use system that integrates trees and shrubs with crops and/or livestock production, has been identified by the International Assessment of Agricultural Knowledge, Science and Technology for Development (IAASTD) as a 'win-win' approach that balances the production of commodities (food, feed, fuel, fiber, etc.) with non-commodity outputs such as environmental protection and cultural and landscape amenities. Evidence is now coming to light that supports the promotion of agroforestry in temperate developed countries as a sustainable alternative to the highly industrialized agricultural model with its associated negative environmental externalities. This paper reviews this evidence within the 'ecosystem services' framework to evaluate agroforestry as part of a multifunctional working landscape in temperate regions. Establishing trees on agricultural land can help to mitigate many of the negative impacts of agriculture, for example by regulating soil, water and air quality, supporting biodiversity, reducing inputs by natural regulation of pests and more efficient nutrient cycling, and by modifying local and global climates. The challenge now lies in promoting the adoption of agroforestry as a mainstream land use through research, dissemination of information and policy changes.",maybe,0.6,agroforestry
23,Lal,Soil science and the carbon civilization et al.,,2007,"Soil science must play a crucial role in meeting present and emerging societal needs of the 21st century and beyond for a population expected to stabilize around 10 billion and having increased aspirations for a healthy diet and a rise in the standards of living. In addition to advancing food security by eliminating hunger and malnutrition, soil resources must be managed regarding numerous other global needs through interdisciplinary collaborations. Some of which are to mitigate global warming; to improve quantity and quality of freshwater resources; to enhance biodiversity; to minimize desertification; serve as a repository of Waste; air archive of human and planetary history; meet growing energy demands; develop strategies of sustainable management of urban ecosystems; alleviate poverty of agricultural communities as an engine of economic development; and fulfill aspirations of rapidly urbanizing and industrializing societies. In addition to food and ecosystem services, bio-industries (e.g., plastics, solvents, paints, adhesives, pharmaceuticals and chemicals) through plant-based compounds (carbohydrates, proteins, and oils) and energy plantations (bioethanol and biodiesel) can revolutionize agriculture. These diverse and complex demands on soil resources necessitate a shift in strategic thinking and conceptualizing sustainable management of soil resources in agroecosystems to provide A ecosystem services while also meeting the needs for food, feed, fiber, and fuel by developing multifunctional production systems. There is a strong need to broaden the scope of soil science to effectively address ever changing societal needs. To do this, soil scientists must rally with allied sciences including hydrology, climatology, geology, ecology, biology, physical sciences (chemistry, physics), and engineering. Use of nanotechnology, biotechnology, and information technology can play an important role in addressing emerging global issues. Pursuit of sustainability, being a moral/ethical and political challenge, must be addressed in cooperation with economists and political scientists. Soil scientists must work in cooperation with industrial ecologists and urban planners toward sustainable development and management of soils in urban and industrial ecosystems. More than half of the world's population (3.3 billion) live in towns and cities, and the number of urban dwellers is expected to increase to 5 billion by 2030. Thus, the study of urban soils for industrial use, human habitation, recreation, infrastructure forestry, and urban agriculture is a high priority. Soil scientists Must nurture symbiotic/synergistic relations with numerous stake holders including land managers, energy companies and carbon traders, urban planners, waste disposal organizations, and conservators of natural resources. Trading of C credits in a trillion-dollar market by 2020 must be made accessible to land managers, especially the resource-poor farmers in developing countries. Soil science curricula, at undergraduate and graduate levels, Must be revisited to provide the needed background in all basic and applied sciences with focus on globalization. We must raise the profile of soil science profession and position Students in the competitive world of ever flattening Earth.",maybe,0.65,soil management
27,Seghetta,"Life cycle assessment of macroalgal biorefinery for the production of ethanol, proteins and fertilizers - A step towards a regenerative bioeconomy et al.",,2016,"Seaweed is a key biomass for the development of a biobased economy because it contains valuable components such as proteins, sugars, nitrogen and phosphorus. This paper analyses innovative offshore seaweed cultivation for the production of biorefinery feedstock.. The biomass is converted into three products: bioethanol, liquid fertilizer and protein-rich ingredient for fish feed. We performed comparative life cycle assessment of a base case and six alternative production scenarios in order to maximize the benefits and minimize the trade-offs in environmental performance of future macroalgal biorefineries (MABs). The results show that the base case provides a net reduction in climate change factors, i.e. -0.1.10(2) kg CO2 eq. per ha of sea cultivated despite a cumulative net energy demand of 3.9.10(4) MJ/ha, 13% of which originates from fossil sources. Regarding the environmental performance of the system, we obtained a reduction in marine eutrophication of -16.3 kg N eq./ha, thanks to bioextraction of nitrogen. For the base case the net impact on human toxicity (carcinogenic effects) was 2.1.10(-4) comparative toxic units per ha of cultivation. The increase in human toxicity is seven times greater than the system can deal with, however reduction of materials for the cultivation lines, i.e. iron ballast, reduces human toxicity to 0.2.10(-5) comparative toxic units. Externalities from the use of biofertilizer affect the non-carcinogenic effects of the system, resulting in 20.3.10(-4) comparative toxic units per ha. Hotspots in the value chain show that biomass productivity is the main constraint against being competitive with other energy and protein producing technologies. Minor changes in plant design, i.e. use of stones instead of iron as ballast to weight the seeded lines, dramatically reduces human toxicity (cancer). Including engineered ecosystem services in the LCA significantly improves the results. As such, an increase in soil carbon stock represents 15% of the climate change mitigation provided by the MAB system. The study shows that MABs can contribute to a regenerative circular economy through environmental restoration and climate mitigation. (C) 2016 Elsevier Ltd. All rights reserved.",maybe,0.7,seaweed biorefineries
68,Herrick,Revolutionary Land Use Change in the 21st Century: Is (Rangeland) Science Relevant? et al.,,2012,"Rapidly increasing demand for food, fiber, and fuel together with new technologies and the mobility of global capital are driving revolutionary changes in land use throughout the world. Efforts to increase land productivity include conversion of millions of hectares of rangelands to crop production, including many marginal lands with low resistance and resilience to degradation. Sustaining the productivity of these lands requires careful land use planning and innovative management systems. Historically, this responsibility has been left to agronomists and others with expertise in crop production. In this article, we argue that the revolutionary land use changes necessary to support national and global food security potentially make rangeland science more relevant now than ever. Maintaining and increasing relevance will require a revolutionary change in range science from a discipline that focuses on a particular land use or land cover to one that addresses the challenge of managing all lands that, at one time, were considered to be marginal for crop production. We propose four strategies to increase the relevance of rangeland science to global land management: 1) expand our awareness and understanding of local to global economic, social, and technological trends in order to anticipate and identify drivers and patterns of conversion; 2) emphasize empirical studies and modeling that anticipate the biophysical (ecosystem services) and societal consequences of large-scale changes in land cover and use; 3) significantly increase communication and collaboration with the disciplines and sectors of society currently responsible for managing the new land uses; and 4) develop and adopt a dynamic and flexible resilience-based land classification system and data-supported conceptual models (e.g., state-and-transition models) that represent all lands, regardless of use and the consequences of land conversion to various uses instead of changes in state or condition that are focused on a single land use.",maybe,0.65,rangeland management
79,Bhardwaj,Switching to nanonutrients for sustaining agroecosystems and environment: the challenges and benefits in moving up from ionic to particle feeding et al.,,2022,"The worldwide agricultural enterprise is facing immense pressure to intensify to feed the world's increasing population while the resources are dwindling. Fertilizers which are deemed as indispensable inputs for food, fodder, and fuel production now also represent the dark side of the intensive food production system. With most crop production systems focused on increasing the quantity of produce, indiscriminate use of fertilizers has created havoc for the environment and damaged the fiber of the biogeosphere. Deteriorated nutritional quality of food and contribution to impaired ecosystem services are the major limiting factors in the further growth of the fertilizer sector. Nanotechnology in agriculture has come up as a better and seemingly sustainable solution to meet production targets as well as maintaining the environmental quality by use of less quantity of raw materials and active ingredients, increased nutrient use-efficiency by plants, and decreased environmental losses of nutrients. However, the use of nanofertilizers has so far been limited largely to controlled environments of laboratories, greenhouses, and institutional research experiments; production and availability on large scale are still lagging yet catching up fast. Despite perceivable advantages, the use of nanofertilizers is many times debated for adoption at a large scale. The scenario is gradually changing, worldwide, towards the use of nanofertilizers, especially macronutrients like nitrogen (e.g. market release of nano-urea to replace conventional urea in South Asia), to arrest environmental degradation and uphold vital ecosystem services which are in critical condition. This review offers a discussion on the purpose with which the nanofertilizers took shape, the benefits which can be achieved, and the challenges which nanofertilizers face for further development and real-world use, substantiated with the significant pieces of scientific evidence available so far.",maybe,0.7,nanofertilizers
83,Zalesny,Environmental Technologies of Woody Crop Production Systems et al.,,2016,"Soil erosion, loss of productivity potential, biodiversity loss, water shortage, and soil and water pollution are ongoing processes that decrease or degrade provisioning (e.g., biomass, freshwater) and regulating (e.g., carbon sequestration, soil quality) ecosystem services. Therefore, developing environmental technologies that maximize these services is essential for the continued support of rural and urban populations. Genotype selection is a key component of these technologies, and characteristics of the species used in short rotation woody biomass systems, as well as the silvicultural techniques developed for short rotation woody crops are readily adapted to environmental applications. Here, we describe the development of such woody crop production systems for the advancement of environmental technologies including phytoremediation, urban afforestation, forest restoration, and mine reclamation. The primary goal of these collective efforts is to develop systems and tools that can help to mitigate ecological degradation and thereby sustain healthy ecosystems across the rural to urban continuum.",maybe,0.7,woody crops
