Index,Authors,Article Title,Publication Year,Abstract,Suitability,Confidence,Keyword
3,"Successes and limitations of phytotechnologies at field scale: outcomes, assessment and outlook from COST Action 859 et al.",Mench,2010,"PurposeMany agricultural and brownfield soils are polluted and more have become marginalised due to the introduction of new, risk-based legislation. The European Environment Agency estimates that there are at least 250,000 polluted sites in the member states that require urgent remedial action. There is also significant volumes of wastewaters and dredged polluted sediments. Phytotechnologies potentially offer a cost-effective in situ alternative to conventional technologies for remediation of low to medium-contaminated matrices, e.g. soils, sediments, tailings, solid wastes and waters. For further development, social and commercial acceptance, there is a clear requirement for up-to-date information on successes and failures of these technologies based on evidence from the field. This review reports the outcomes from several integrated experimental attempts to address this at both field and market level in the 29 countries participating in COST Action 859.Results and discussionThis review offers insight into the deployment of promising and emergent in situ phytotechnologies, for sustainable remediation and management of contaminated soils and water, that integrative research findings produced between 2004 and 2009 by members of COST Action 859. Many phytotechnologies are at the demonstration level, but relatively few have been applied in practice on large sites. They are not capable of solving all problems. Those options that may prove successful at market level are (a) phytoextraction of metals, As and Se from marginally contaminated agricultural soils, (b) phytoexclusion and phytostabilisation of metal- and As-contaminated soils, (c) rhizodegradation of organic pollutants and (d) rhizofiltration/rhizodegradation and phytodegradation of organics in constructed wetlands. Each incidence of pollution in an environmental compartment is different and successful sustainable management requires the careful integration of all relevant factors, within the limits set by policy, social acceptance and available finances. Many plant stress factors that are not evident in short-term laboratory experiments can limit the effective deployment of phytotechnologies at field level. The current lack of knowledge on physicochemical and biological mechanisms that underpin phytoremediation, the transfer of contaminants to bioavailable fractions within the matrices, the long-term sustainability and decision support mechanisms are highlighted to identify future R&D priorities that will enable potential end-users to identify particular technologies to meet both statutory and financial requirements.ConclusionsMultidisciplinary research teams and a meaningful partnership between stakeholders are primary requirements that determine long-term ecological, ecotoxicological, social and financial sustainability of phytotechnologies and to demonstrate their efficiency for the solution of large-scale pollution problems. The gap between research and development for the use of phytoremediation options at field level is partly due to a lack of awareness by regulators and problem owners, a lack of expertise and knowledge by service providers and contractors, uncertainties in long-term effectiveness and difficulties in the transfer of particular metabolic pathways to productive and widely available plants. Networks such as COST Action 859 are highly relevant to the integration of research activity, maintenance of projects that demonstrate phytoremediation at a practical field scale and to inform potential end-users on the most suitable techniques. Biomass for energy and other financial returns, biodiversity and ecological consequences, genetic isolation and transfer of plant traits, management of plant-microorganism consortia in terrestrial systems and constructed wetlands, carbon sequestration and soil and water multi-functionality are identified as key areas that need to be incorporated into existing phytotechnologies.",yes,0.80,phytoremediation
8,From phytoremediation of soil contaminants to phytomanagement of ecosystem services in metal contaminated sites et al.,Burges,2018,"Since the emergence of phytoremediation, much research has focused on its development for (i) the removal of metals from soil and/or (ii) the reduction of metal bioavailability, mobility, and ecotoxicity in soil. Here, we review the lights and shades of the two main strategies (i.e., phytoextraction and phytostabilization) currently used for the phytoremediation of metal contaminated soils, irrespective of the level of such contamination. Both strategies face limitations to become successful at commercial scale and, then, often generate skepticism regarding their usefulness. Recent innovative approaches and paradigms are gradually establishing these phytoremediation strategies as suitable options for the management of metal contaminated soils. The combination of these phytotechnologies with a sustainable and profitable site use (a strategy called phytomanagement) grants value to the many benefits that can be obtained during the phytoremediation of metal contaminated sites, such as, for instance, the restoration of important ecosystem services, e.g. nutrient cycling, carbon storage, water flow regulation, erosion control, water purification, fertility maintenance, etc.",yes,0.80,phytoremediation
11,Microbial Monitoring of the Recovery of Soil Quality During Heavy Metal Phytoremediation et al.,Gomez-Sagasti,2012,"Soil pollution with heavy metals is a worldwide environmental problem. Phytoremediation through phytoextraction and phytostabilization appears to be a promising technology for the remediation of polluted soils. It is important to strongly emphasize that the ultimate goal of a heavy metal remediation process must be not only to remove the heavy metals from the soil (or instead to reduce their bioavailability and mobility) but also to restore soil quality. Soil quality is defined as the capacity of a given soil to perform its functions. Soil microbial properties are increasingly being used as biological indicators of soil quality due to their quick response, high sensitivity, and, above all, capacity to provide information that integrates many environmental factors. Indeed, microbial properties are among the most ecologically relevant indicators of soil quality. Consequently, microbial monitoring of the recovery of soil quality is often carried out during heavy metal phytoremediation processes. However, soil microbial properties are highly context dependent and difficult to interpret. For a better interpretation of microbial properties as indicators of soil quality, they may be grouped within categories of higher ecological relevance, such as soil functions, ecosystem health attributes, and ecosystem services.",yes,0.80,phytoremediation
20,Wood biochar impacts soil phosphorus dynamics and microbial communities in organically-managed croplands et al.,Gao,2018,"Biochar (a carbon-rich product from pyrolysis of organic materials) addition to agricultural soils has been proposed as a novel technology for enhancing soil C storage and fertility; however, few studies have evaluated the effects of biochar on nutrients from an integrated perspective. Previous studies have demonstrated that biochar has the potential to improve bioavailable phosphorus (P) of sandy soils in organic farming systems; yet the underlying mechanisms remain poorly understood. We hypothesized that the unique characteristics of wood biochar could induce changes in soil microbial communities, which would subsequently drive biotic controls on soil P availability through microbial solubilization and/or mineralization and that this would be reflected in microbial P gene expression. To test this hypothesis, we determined the abundance and diversity of bacterial and fungal communities as related to microbial communities in sandy soils of organically-managed farmlands amended with locally produced wood biochar. A series of soil biochemical properties and genes encoding synthesis of phosphatase and those encoding the production of small molecular weight organic acids (involved in metal chelation and P solubilization) were directly quantified to help understand soil P mobilization following biochar addition. Three months after the application of wood biochar, the bioavailability of soil P was found to be elevated and a shift towards a bacterial dominated community was observed. Contrary to our hypothesis; however, the abundance of genes dictating soil phosphatase synthesis or organic acids production remained unaltered following biochar amendment. We suggest that the shift in P bioavailability could be controlled by abiotic mechanisms such as biochar-induced surface organic matter stabilization or adsorption/desorption of P associated with organo-mineral complexes. Although there was no specific molecular evidence of soil microorganism-mediated P mobilization, locally produced wood biochar had a positive effect on surface soil P bioavailability which could benefit agricultural soil health and ecosystem service delivery in organic farming systems.",yes,0.80,bioavailability
31,Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands et al.,Carson,2018,"In Laurentian Great Lakes coastal wetlands (GLCWs), dominant emergent invasive plants are expanding their ranges and compromising the unique habitat and ecosystem service values that these ecosystems provide. Herbiciding and burning to control invasive plants have not been effective in part because neither strategy addresses the most common root cause of invasion, nutrient enrichment. Mechanical harvesting is an alternative approach that removes tissue-bound phosphorus and nitrogen and can increase wetland plant diversity and aquatic connectivity between wetland and lacustrine systems. In this study, we used data from three years of Great Lakes-wide wetland plant surveys, published literature, and bioenergy analyses to quantify the overall areal extent of GLCWs, the extent and biomass of the three most dominant invasive plants, the pools of nitrogen and phosphorus contained within their biomass, and the potential for harvesting this biomass to remediate nutrient runoff and produce renewable energy. Of the approximately 212,000 ha of GLCWs, three invasive plants (invasive cattail, common reed, and reed canary grass) dominated 76,825 ha (36%). The coastal wetlands of Lake Ontario exhibited the highest proportion of invasive dominance (57%) of any of the Great Lakes, primarily from cattail. A single growing season's biomass of these invasive plants across all GLCWs was estimated at 659,545 metric tons: 163,228 metric tons of reed canary grass, 270,474 metric tons of common reed, and 225,843 metric tons of invasive cattail, and estimated to contain 10,805 and 1144 metric tons of nitrogen and phosphorus, respectively. A one-time harvest and utilization for energy of this biomass would provide the gross equivalent of 1.8 million barrels of oil if combusted, or 0.9 million barrels of oil if converted to biogas in an anaerobic digester. We discuss the potential for mitigating non-point source nutrient pollution with invasive wetland plant removal, and other potential uses for the harvested biomass, including compost and direct application to agricultural soils. Finally, we describe the research and adaptive management program we have built around this concept, and point to current limitations to the implementation of large-scale invasive plant harvesting.",yes,0.9,nutrient remediation
39,The potential use of biochar in reclaiming degraded rangelands et al.,Stavi,2012,"Many of the world's rangelands are degraded due to either natural or anthropogenic causes. One of the main indicators of the degradation process is the depletion of the organic carbon stocks in the soil. The organic carbon plays a crucial role in supporting the soil microbial community, maintaining the soil structure formation and stability, and retaining water and nutrients in the uppermost soil layers. Biochar, the by-product of the pyrolysis technology for bio-energy production, has been proven to have the capability to efficiently maintain soil quality and increase vegetative production. At the same time, the inert nature of the biochar enables the long-term sequestration of carbon in soil. To date, the application of biochar has been examined almost exclusively in arable lands, but not yet in rangelands. The objective of this paper is to raise awareness of this topic in order to encourage research and development in this field. Progress in knowledge and understanding on this matter could contribute to the reclamation of degraded rangelands. At the same time, it would potentially increase their capacity for long-term sequestration of carbon to a rate of between 0.69 and 10.7 Pg. Large-scale implementation of this practice in the future should be funded through central authorities, based on payments for improvement in ecosystem services.",yes,0.9,biochar for rangeland reclamation
49,Including a one-year grass ley increases soil organic carbon and decreases greenhouse gas emissions from cereal-dominated rotations - A Swedish farm case study et al.,Prade,2017,"Increased soil organic carbon (SOC) content has been shown to increase soil fertility and carbon sequestration, but SOC changes are frequently neglected in life cycle assessment (LCA) studies of crop production. This study used a novel LCA application using simulated SOC changes to examine the greenhouse gas (GHG) impact of a combined food and energy crop production from a crop rotation perspective. On a case pig farm, introduction of one year of grass ley into a cereal-dominated crop rotation was simulated. The grass and pig manure were used for biogas production and the digestion residues were used as fertiliser on the farm. This crop rotation shift increased the SOC stocks by an estimated 27 and 49% after 50 years and at steady state, respectively. The estimated corresponding net wheat yield increase due to higher SOC was 8-16% and 16-32%, respectively, indicating that initial loss of low-yield oat production can be partly counterbalanced. Net SOC increase (corresponding to 2 t CO2-eq ha(-1) a(-1)) was the single most important variable affecting the GHG balance. When biogas replaced fossil fuels, GHG emissions of the combined energy food crop rotation were approx. 3 t CO2-eq ha(-1) a(-1) lower than for the current food crop rotation. Sensitivity analyses led to variation of only 2-9% in the GHG balance. This study indicates that integrated food and energy crop production can improve SOC content and decrease GHG emissions from cropping systems. It also demonstrates the importance of including SOC changes in crop production-related LCA studies. (C) 2017 The Authors. Published by Elsevier Ltd on behalf of IAgrE.",yes,0.80,soil carbon sequestration
52,Compost amendment maintains soil structure and carbon storage by increasing available carbon and microbial biomass in agricultural soil-A six-year field study et al.,Wang,2022,"Soil organic amendments in agricultural production can benefit crop production and a wide range of soil properties, including soil aggregation. Soil aggregate formation is largely driven by microbial activities, and can in-turn influence microbial communities by generating distinct microbial habitats, as well as associated impacts on water and nutrient dynamics. We investigated the long-term effects of two fertilizer management strategies (poultry manure compost vs. mineral fertilizer) and biochar amendment (0 vs. 10 t ha? 1 walnut shell biochar, 900 C pyrolysis temperature, by-product of gasification) on soil aggregation, soil organic C, and microbial community dynamics in water-stable aggregate fractions in corn-tomato rotations. Using wet-sieving, soils (0-15 cm) were divided into four size fractions: large macroaggregates (2000-8000 mu m), small macroaggregates (250-2000 mu m), microaggregates (53-250 mu m) and silt and clay (< 53 mu m) for calculation of mean weight diameter in both 2014 and 2018. The total C and microbial community composition and abundance within each fraction were evaluated in 2018. Across all treatments, six years of continuous compost application maintained soil aggregate stability and C storage by increasing soil microbial biomass and associated dissolved organic C. Bacterial and fungal populations under compost treatments were significantly higher than under mineral fer-tilizer treatments based on 16S rRNA gene copy number and internal transcribed spacer (ITS) abundance, which likely contributed to the formation and maintenance of macroaggregates in compost treatments. Interestingly, continuous application of manure compost may increase microbial available C sources by increasing the abun-dance of bacteria with the potential to degrade aromatic C as predicted from 16S sequences. Soil under the mineral fertilizer treatment showed decreases in the proportion of large macroaggregates, bulk soil C, and aggregate-associated C storage compared to the compost treatment. The application of highly recalcitrant walnut shell biochar had limited long-term impacts on soil aggregation and C dynamics, likely due to its lack of microbially-available C and limited interaction with the soil environment. Our results indicate that continuous compost inputs maintained soil structure and associated physical stabilization of SOM by enlarging soil microbial available C pool, higher soil microbial biomass, and increasing aggregate formation. The soil aggregate structure, in-turn, generated diverse habitats and altered soil microbial communities. Compost inputs, in addition to or in partial replacement of mineral fertilizer inputs, can provide valuable microbial-driven ecosystem services, such as carbon storage and soil structure, while still providing fertility for crop growth.",yes,0.90,soil amendments
73,Reflections and Insights on the Evolution of the Biological Remediation of Contaminated Soils et al.,Alkorta,2021,"The field of soil biological remediation was initially focused on the use of microorganisms. For organic contaminants, biostimulation and bioaugmentation were the strategies of choice. For heavy metals, bioremediation was centered on the feasibility of using microorganisms to reduce metal toxicity. Partly due to the impossibility to degrade metals, phytoremediation emerged proposing the use of plants to extract them (phytoextraction) or reduce their bioavailability (phytostabilization). Later, microbial-assisted phytoremediation addressed the inoculation of plant growth-promoting microorganisms to improve phytoremediation efficiency. Similarly, plant-assisted bioremediation examined the stimulatory effect of plant growth on the microbial degradation of soil contaminants. The combination of plants and microorganisms is nowadays often recommended for mixed contaminated soils. Finally, phytomanagement emerged as a phytotechnology focused on the use of plants and associated microorganisms to decrease contaminant linkages, maximize ecosystem services, and provide economic revenues. Although biological remediation methods have been in use for decades, the truth is that they have not yet yielded the expected results. Here, we claim that much more research is needed to make the most of the many ways that microorganisms have evolutionary developed to access the contaminants and to better understand the soil microbial networks responsible, to a great extent, for soil functioning.",yes,0.80,bioremediation
76,"Enset farming system - a resilient, climate-robust production system in South and South-Western Ethiopia et al.",Senbeta,2022,"With the ever-increasing global problem of food insecurity, climate-robust and resilient indigenous farming systems are getting increased attention. The enset [Ensete ventricosum (Welw.) Cheesman] farming system is one of the most sustainable indigenous farming systems in Ethiopia. The present study uses observations and literature to review the ecosystem services of enset, the resilience of the farming system to global change, and the implications of replacing it with cereals and cash crops. From a sustainability point of view, enset is a multipurpose crop; and delivers provisioning services (food, feed, fuel, fiber, mat, wrapping, fencing, traditional medicine), cultural services (identity, homegarden ornament, and greenery), regulation services (carbon and nutrient sequestration, soil protection and control of local microclimate) and supporting services (soil formation and water cycle). It is a staple food for over 20 million people in the south and southwestern part of Ethiopia. The crop is resistant to drought, flood and frost, and can be harvested and stored for food over long periods of time. Unlike annual crops, enset requires less tillage and few off-farm inputs. In enset-coffee homegarden, the enset shade improves soil moisture availability and moderates the effect of climate change on coffee. The broad leaves of enset intercept heavy rain, reduce soil erosion and facilitate groundwater recharge. However, in most parts of Ethiopia, enset is hardly known as a food source or considered as a hardship crop. Finally, we suggest disease prevention, improvement of processing technology and farm income helps to avert the current trend of transitions from enset farming system to cash crops.",yes,0.80,enset farming system
