Index,Authors,Article Title,,Publication Year,Abstract,Suitability,Confidence,Keyword
24,Prabakaran,Managing environmental contamination through phytoremediation by invasive plants: A review,,2019,"Environmental degradation by contaminants is a serious concern in the developing world. The remediation strategies to overcome the problem of environmental degradation should be assorted for its ecological impacts. Phytoremediation is a green technology for the removal of pollutants from various environmental compartments by employing green plants. An ideal phytoremediation plant candidate should possess some characteristic features such as exhibiting stronger growth traits with high biomass, unpalatable nature, exuberant root system, hyper accumulation of target contaminants accompanied with stress tolerance attributes. The growth of natural vegetation is prevented by the barren and uncongenial conditions prevailing in the contaminated sites, but however invasive plants are capable of establishing themselves on those sites due to their opportunistic incursive nature. Since, it is hard to eradicate an invasive species once after their establishment in a new habitat or ecosystem, they can possibly be controlled by sustainable management through the way of exploiting them in contaminant remediation, thus phytoremediation. Therefore, it is of foremost requisite to determine the ability of invasive species in offering various ecologically viable services including contaminant remediation through scientific exploration. In this review, the implications of using invasive plants in contaminant remediation with accompanying challenges and scopes involved are discussed with the available volume of literatures in contaminant remediation using plants, especially the invasive plants.",yes,0.75,phytoremediation
151,Peruzzi,Stabilization process in reed bed systems for sludge treatment,,2017,"Reed bed systems (RBS) represent an innovative and ecologically sound treatment method for the stabilization of sludge from wastewater treatment plants (WWTPs), which is also able to provide several ancillary ecosystem services. In this study, the performance of sludge stabilization achieved during the operation of an RBS for the stabilization of excess sludge extracted from a WWTP located in Central Italy (La Fontina WWTP, 15,000 p.e.) was studied. In order to evaluate the process of sludge stabilization, parameters representing the biochemical, chemical and chemico-structural properties of organic sludge matter have been tracked during the entire period of operation (6 years).The main aim of this paper is to monitor the stabilization process of sludge organic matter occurring during the main RBS operational stages (commissioning, operation and resting), in order to derive useful rules and parameters for the formulation of novel guidelines for RBS design and operation. Each singular operational stage was characterized by the predominance of a specific process of organic matter stabilization as follows:1) During the commissioning phase, the mineralization of fresh organic matter turned out to be the primary process, as highlighted by the values of water soluble carbon (4195 mg C/kg dw) and dehydrogenase activity (25.5 mg INTF/kg dw h) reached at 24 months;2) During the operating phase, the mineralization of pseudo-stable organic matter proved to prevail over the humification process, as demonstrated by the decrease of toluene (from 27.5% to 22.9%) derived from chemical-structural organic matter characterization performed by the Py-GC technique;3) During the resting period, humification and sanitation processes became predominant, thus enabling a final safe reuse of stabilized sludge as biosolids for land application, proved by the absence of Escherichia coli and Salmonella, and by the values of polycyclic aromatic hydrocarbons (1.53 mg/kg dw), di-2-ethylhexyl-phthalate (3.63 mg/kg dw), nonyl-phenols (20.9 mg/kg dw), and linear alkyl benzene sulfonates (4.99 mg/kg dw). (C) 2017 Elsevier B.V. All rights reserved.",yes,0.75,sludge stabilization
192,Bonnail,Metal Pollution and Mining in the Iberian Pyrite Belt: New Remediation Technologies to Improve the Ecosystem Services of the River Basins,,2023,"The highly metal-contaminated Odiel-Tinto River basin, located in the Iberian Pyrite Belt (IPB), has been the focus of many environmental studies as a natural lab for biodiversity and environmentally catastrophic scenarios and as a reference site for mining places with similar conditions. This study demonstrates the feasibility and effectiveness of two different technologies to recover ecosystems affected by acid mine drainage (AMD) in the area of IPB. The current study compiles results of two newest technologies for AMD remediation: passive remediation (dispersed alkaline substrate-DAS) and a new disruptive technology (Adiabatic Sonic Evaporation and Crystallization-ASE&C) that purifies the contaminated water, obtaining two by-products (high-quality water and metal conglomerates) that improve the general quality of the ecosystem including biodiversity by eliminating more than 90% of the contaminants from AMD and mining waters. The removal of contaminants, enhancement of AMD treatment efficiency, and offset operating costs were compared and analyzed for the different uses of the decontaminated effluents, including an old tailing pond failure, the Aznalcollar mining spill. The efficiency of the removal of elements from the contaminated water is significant using both technologies, although the passive DAS does not still reach the international benchmark for some compounds (such as Fe, sulfates, and Mn); whereas ASE&C obtains distilled water fulfilling all the international benchmarks with conductivity values lower than 120 mu S cm(-1) or metal concentrations lower than mu g/L. Both technologies are eco-friendly and cost-effective as a result of the generation of valuable by-products such as fresh water and metal conglomerates as potentially commercial products while remediating aquatic ecosystems impacted by mining activities.",yes,0.75,amd remediation technologies
9,Masi,"The role of constructed wetlands in a new circular economy, resource oriented, and ecosystem services paradigm",,2018,"Wastewater management is included in one of the 17 Sustainable Development Goals (SDGs): SDG 6 is dedicated to water and sanitation and sets out to ensure availability and sustainable management of water and sanitation for all. SDG 6 expands the Millennium Development Goals (MDGs) focus on drinking water and basic sanitation to now cover the entire water cycle, including the management of water, wastewater and ecosystem resources. A UN report in 2017 states that likely over 80% of the wastewater worldwide is still discharged without adequate treatment. In several countries the wastewater management is nowadays a norm, but still there are open discussions about the kind of approach to be adopted, i.e. centralisation vs. decentralisation. The choice of the adopted technologies is strictly linked to environmental performances and economical aspects; one of the possible causes for the still enormous amount of untreated wastewater discharged into the environment can be the low willingness to pay for this kind of service and therefore a great focus should be given to all the technologies that are able to lower the treatment costs still maintaining reliable and robust performances in the long term. When considering wastewater as a carrier of valuable primary chemicals that can be easily converted to marketable products (fertilisers, bio-plastics, soil conditioners, biofuels, etc.), and as well as a relevant source of new water to be used for specific purposes, wastewater and runoff management can be highlighted as one of the most exciting challenges and occasions for a sustainable development in the near future.The paper aims to clarify the future role of CWs in circular economy, resource-oriented, and ecosystem services approaches, which want to respond to sanitation worldwide and the future research needs. We give an overview on how the conventional wastewater treatment scheme (what we call waste paradigm) should move towards more sustainable water and biogeochemical cycles following the new resource-oriented, circular economy and ecosystem service views. On this basis, we review the potential application of CWs within this new, and needed, paradigm. Finally, a meta-analysis shows that the scientific community involved in CWs should put more effort in making CWs more suitable for these new tasks. (C) 2017 Elsevier Ltd. All rights reserved.",maybe,0.7,constructed wetlands (cws)
72,Guimaraes,Microbial services and their management: Recent progresses in soil bioremediation technology,,2010,"There is an increasing interest in soils and sediments because their vital importance for the survival of the planet has become apparent. They assure a multitude of services such as removal of various gases from the atmosphere (methane, carbon monoxide, ...), filtering of water, removal of pathogens, degradation of organics, recycling of nutrients, .... All these processes represent an economic value, which is estimated to be about the double of the gross annual product. Yet, numerous sites (estimated at more than a quarter million in the EU alone) are polluted and need to be cleaned up. Soil biotechnology plays an ever-increasing role in this. The reason why engineers need to enhance or induce natural processes and the ways they can do this, are reviewed. Furthermore, those soil services which are of vital importance are evaluated. To understand the underlying ecological mechanisms during soil remediation, a pragmatic approach using molecular tools is proposed. Subsequently, a series of new biotechnologies for soils is examined. Also putative new dangers for soils are scouted for. Moreover a set of paradigms currently implemented in the field of soil governance is critically examined. Finally a short list of future market potentials in soil biotech is presented. Overall, it is concluded that soil biotech, driven by the economic value of the services rendered by high quality soils, is currently in a phase of extensive growth. (C) 2010 Elsevier B.V. All rights reserved.",maybe,0.75,soil biotechnology
88,Grottola,Steam assisted slow pyrolysis of contaminated biomasses: Effect of plant parts and process temperature on heavy metals fate,,2019,"The post-treatment of biomass from phytoremediation is not yet a well-established practice due to the risk induced by the presence of Potentially Toxic Elements (PTEs). Pyrolysis is a thermochemical treatment that reduces the volume and weight of contaminated matter producing a combustible vapor phase and a solid residue (char). A key factor enhancing the economic and the environmental sustainability of biomass valorization through pyrolysis is the production of a market value char. A proper choice of the pyrolysis operating conditions should take into account the effect of final temperature on PTEs release, on the char physicochemical properties as well as on the mobility of retained PTEs.In particular, in this work the influence of both the temperature and the plant parts is discussed (branches and leaves of Populus Nigra L and rhizomes and culms of Arundo donax L) on the release of Cd, Pb, Cu, and Zn in the temperature range 653-873 K under steam assisted slow pyrolysis conditions. The mobility of the heavy metals retained in the chars was also studied as well as the product yields, the gas composition and char porosity.The results suggested that in presence of Cd it is necessary to operate at low-temperature (lower than 703 K) to obtain a heavy metals free vapor phase fuel, whereas in presence of one or more metals among Pb, Cu, and Zn, it is possible to conduct a pyrolytic treatment at higher temperatures, thus obtaining a char with high BET surface area and lower metals mobility. (C) 2018 Elsevier Ltd. All rights reserved.",maybe,0.7,pyrolysis of phytoremediation biomass
93,Wu,Constructed wetlands for pollution control,,2023,"Constructed wetlands are used to remove organics and nutrients from wastewater while providing ecosystem services. This Review discusses the application, principles and operational strategies of CWs, and provides guidance on their design and maintenance.Artificial wetlands are used in over 50 countries to sustainably treat wastewater. These constructed wetlands (CWs) make use of natural biogeochemical and physical processes to remove organic matter and nutrients, while providing co-benefits such as ecosystem services and recreation. However, their performance can be variable, as local weather conditions, wastewater composition and operation can affect contaminant removal. In this Review, we discuss the global application and distribution of CWs, and factors affecting their functioning. Based on data from 335 field-scale CWs, hybrid CWs (which use two or more types of CW during water treatment) are the most effective for water-quality improvement and greenhouse gas mitigation, removing 76%, 63% and 72% of organic matter, nitrogen and phosphorus, respectively (based on the median values). Plant species, substrate selection, and environmental and hydraulic conditions affect performance, with variations in contaminant removal performance mainly related to temperature, hydraulic residence time and pollutant loading rates. Pollutant removal and long-term performance of CWs can be enhanced through strategies such as artificial aeration, cold-resistant plant selection, electron donor supplementation and clogging repair. Engineers and scientists must work together to design and manage CWs, ideally maximizing their co-benefits alongside pollution control.",maybe,0.6,constructed wetlands
96,Gutierrez-Zamora,An appraisal of methods for linking environmental processes to specific microbial taxa,,2010,"The last decade has witnessed a revolution in the development of methods and technology available to investigate the ecological roles of microorganisms in the environment. As a consequence, microbial ecologists have gained a better understanding of the functional aspects of microorganisms in marine, groundwater and freshwater systems, soils, sediments, hot springs, wastewater treatment plants, landfills, the rhizosphere and the animal gut. This review provides a compilation and critical comparison of the currently available methods linking microbial function with phylogeny, including a description and advantages and limitations of each method. Examples are also provided to illustrate their application. The ongoing improvements of these 'function-identity' methods points to a bright future in our understanding of complex ecological processes and to improved management of microbe dependent ecosystem services.",maybe,0.7,microbial functions
108,Saladini,Synergies between industry and nature - An emergy evaluation of a biodiesel production system integrated with ecological systems,,2018,"Techno-ecological synergy (TES) is a framework that encourages integration of technological and ecological systems. Specifically, it incorporates the role of natural capital in engineering assessment and design by quantifying both demand and supply of ecosystem services. Emergy can provide valuable support to improve and interpret TES evaluation, as it is a methodology particularly useful for evaluating systems at the biosphere-technosphere interface. The present study evaluates how the TES framework based on emergy can shed new light by comparing conventional technological alternatives and ecological alternatives for meeting a particular ecosystem service demand. Both the demand and supply of ecosystem services are quantified in consistent units of emergy to obtain aggregated TES metrics. Specifically it was found that additional equipment to treat air pollutants have a higher emergy investment as compared to the forest ecosystem, while the technological unit to treat wastewater requires less emergy as compared to the horizontal subsurface flow wetland, its ecological counterpart. This new approach is tested by application to a biodiesel production plant and by calculating emergy metrics. This work shows that emergy can provide a fundamental improvement to the current TES framework, as it provides an aggregated metric for multiple ecosystem services. (C) 2018 Elsevier B.V. All rights reserved.",maybe,0.65,techno-ecological synergy (tes)
111,Falahi,Optimization of the municipal solid waste management system using a hybrid life cycle assessment-emergy approach in Tehran,,2020,"The sustainable design of the waste-management system is of crucial importance for cities like Tehran, capital of Iran. Tehran's municipal solid-waste management has adopted modern practices and technologies very slowly. This study proposes the optimum pathway to reach maximum environmental benefits as well as the most cost-effective technologies according to the financial limits. The hybrid life cycle assessment (LCA)-emergy approach is applied to utilize the life cycle emissions as an inventory database to estimate the ecosystem services provided by the natural ecosystem to dilute the emissions and compensate raw material consumption. Among organic waste-treatment options, composting is optimally chosen by the hybrid LCA-emergy approach while considering the LCA method solely; the anaerobic digestion is the preferable option. Recycling is the most preferable solution for paper, plastic, and glass in terms of energy recovery and cost saving. However, the budget constraint affects the results. Considering the budget constraint, 65% of ferrous metals are diverted from recycling into metal landfill. Cost reduction of recycling technologies may divert metal flow from landfill to recycling. The limited budget has a significant impact on recycling solutions. Overall, the combination of composting and source separation should be considered as the most sustainable and eco-friendly pathway in Tehran.",maybe,0.7,waste-management optimization
119,Wang,Compost amendment maintains soil structure and carbon storage by increasing available carbon and microbial biomass in agricultural soil-A six-year field study,,2022,"Soil organic amendments in agricultural production can benefit crop production and a wide range of soil properties, including soil aggregation. Soil aggregate formation is largely driven by microbial activities, and can in-turn influence microbial communities by generating distinct microbial habitats, as well as associated impacts on water and nutrient dynamics. We investigated the long-term effects of two fertilizer management strategies (poultry manure compost vs. mineral fertilizer) and biochar amendment (0 vs. 10 t ha? 1 walnut shell biochar, 900 C pyrolysis temperature, by-product of gasification) on soil aggregation, soil organic C, and microbial community dynamics in water-stable aggregate fractions in corn-tomato rotations. Using wet-sieving, soils (0-15 cm) were divided into four size fractions: large macroaggregates (2000-8000 mu m), small macroaggregates (250-2000 mu m), microaggregates (53-250 mu m) and silt and clay (< 53 mu m) for calculation of mean weight diameter in both 2014 and 2018. The total C and microbial community composition and abundance within each fraction were evaluated in 2018. Across all treatments, six years of continuous compost application maintained soil aggregate stability and C storage by increasing soil microbial biomass and associated dissolved organic C. Bacterial and fungal populations under compost treatments were significantly higher than under mineral fer-tilizer treatments based on 16S rRNA gene copy number and internal transcribed spacer (ITS) abundance, which likely contributed to the formation and maintenance of macroaggregates in compost treatments. Interestingly, continuous application of manure compost may increase microbial available C sources by increasing the abun-dance of bacteria with the potential to degrade aromatic C as predicted from 16S sequences. Soil under the mineral fertilizer treatment showed decreases in the proportion of large macroaggregates, bulk soil C, and aggregate-associated C storage compared to the compost treatment. The application of highly recalcitrant walnut shell biochar had limited long-term impacts on soil aggregation and C dynamics, likely due to its lack of microbially-available C and limited interaction with the soil environment. Our results indicate that continuous compost inputs maintained soil structure and associated physical stabilization of SOM by enlarging soil microbial available C pool, higher soil microbial biomass, and increasing aggregate formation. The soil aggregate structure, in-turn, generated diverse habitats and altered soil microbial communities. Compost inputs, in addition to or in partial replacement of mineral fertilizer inputs, can provide valuable microbial-driven ecosystem services, such as carbon storage and soil structure, while still providing fertility for crop growth.",maybe,0.75,soil amendments
127,Verstraete,Engineering microbial technologies for environmental sustainability: choices to make,,2022,"Microbial technologies have provided solutions to key challenges in our daily lives for over a century. In the debate about the ongoing climate change and the need for planetary sustainability, microbial ecology and microbial technologies are rarely considered. Nonetheless, they can bring forward vital solutions to decrease and even prevent long-term effects of climate change. The key to the success of microbial technologies is an effective, target-oriented microbiome management. Here, we highlight how microbial technologies can play a key role in both natural, i.e. soils and aquatic ecosystems, and semi-natural or even entirely human-made, engineered ecosystems, e.g. (waste) water treatment and bodily systems. First, we set forward fundamental guidelines for effective soil microbial resource management, especially with respect to nutrient loss and greenhouse gas abatement. Next, we focus on closing the water circle, integrating resource recovery. We also address the essential interaction of the human and animal host with their respective microbiomes. Finally, we set forward some key future potentials, such as microbial protein and the need to overcome microphobia for microbial products and services. Overall, we conclude that by relying on the wisdom of the past, we can tackle the challenges of our current era through microbial technologies.",maybe,0.7,microbial technologies
128,Canet-Marti,"Nature-Based Solutions for Agriculture in Circular Cities: Challenges, Gaps, and Opportunities",,2021,"Urban agriculture (UA) plays a key role in the circular metabolism of cities, as it can use water resources, nutrients, and other materials recovered from streams that currently leave the city as solid waste or as wastewater to produce new food and biomass. The ecosystem services of urban green spaces and infrastructures and the productivity of specific urban agricultural technologies have been discussed in literature. However, the understanding of input and output (I/O) streams of different nature-based solutions (NBS) is not yet sufficient to identify the challenges and opportunities they offer for strengthening circularity in UA. We propose a series of agriculture NBS, which, implemented in cities, would address circularity challenges in different urban spaces. To identify the challenges, gaps, and opportunities related to the enhancement of resources management of agriculture NBS, we evaluated NBS units, interventions, and supporting units, and analyzed I/O streams as links of urban circularity. A broader understanding of the food-related urban streams is important to recover resources and adapt the distribution system accordingly. As a result, we pinpointed the gaps that hinder the development of UA as a potential opportunity within the framework of the Circular City.",maybe,0.75,urban agriculture
